no,Skema,Umur (Hari),Diameter (mm),Tinggi (mm),Kebutuhan air (kg),fas,Kebutuhan semen (kg),Kebutuhan agregat halus (kg),Kebutuhan agregat kasar (kg),Kebutuhan sikacim (kg),Prediksi (kN)
82,5C,3,150,300,188,0.47608551,395,727,1090,2.449,438.32957247186596
83,5C,7,150,300,188,0.47608551,395,727,1090,2.449,488.2146347064181
84,5C,14,150,300,188,0.47608551,395,727,1090,2.449,575.5134936168846
85,5C,28,150,300,188,0.47608551,395,727,1090,2.449,750.1112114378174
86,5D,1,150,300,182,0.47608551,382,735,1102,3.266,389.53598369232674
87,5D,3,150,300,182,0.47608551,382,735,1102,3.266,414.47851480960287
88,5D,7,150,300,182,0.47608551,382,735,1102,3.266,464.3635770441551
89,5D,14,150,300,182,0.47608551,382,735,1102,3.266,551.6624359546215
90,5D,28,150,300,182,0.47608551,382,735,1102,3.266,726.2601537755544
91,6A,1,150,300,185,0.47608551,388,731,1097,1.633,405.0722979970946
92,6A,3,150,300,185,0.47608551,388,731,1097,1.633,430.01482911437074
93,6A,7,150,300,185,0.47608551,388,731,1097,1.633,479.89989134892295
94,6A,14,150,300,185,0.47608551,388,731,1097,1.633,567.1987502593894
95,6A,28,150,300,185,0.47608551,388,731,1097,1.633,741.7964680803221
96,6B,1,150,300,182,0.47608551,382,744,1116,3.266,443.23961877853117
97,6B,3,150,300,182,0.47608551,382,744,1116,3.266,468.1821498958073
98,6B,7,150,300,182,0.47608551,382,744,1116,3.266,518.0672121303595
99,6B,14,150,300,182,0.47608551,382,744,1116,3.266,605.3660710408259
100,6B,28,150,300,182,0.47608551,382,744,1116,3.266,779.9637888617589
